Product,Count
"AA Batteries (4-pack), Macbook Pro Laptop, ",8
"AAA Batteries (4-pack), 20in Monitor, ",8
"Wired Headphones, Google Phone, ",8
"Apple Airpods Headphones, Flatscreen TV, ",8
"Flatscreen TV, AA Batteries (4-pack), ",8
"Bose SoundSport Headphones, Google Phone, ",8
"Google Phone, AAA Batteries (4-pack), ",8
"20in Monitor, Apple Airpods Headphones, ",7
"34in Ultrawide Monitor, 34in Ultrawide Monitor, ",7
"Macbook Pro Laptop, AAA Batteries (4-pack), ",7
"Macbook Pro Laptop, Apple Airpods Headphones, ",7
"Bose SoundSport Headphones, iPhone, ",7
"Wired Headphones, 20in Monitor, ",7
"34in Ultrawide Monitor, iPhone, ",7
"Macbook Pro Laptop, Wired Headphones, ",7
"Wired Headphones, Flatscreen TV, ",7
"Flatscreen TV, USB-C Charging Cable, ",7
"ThinkPad Laptop, Apple Airpods Headphones, ",7
"Macbook Pro Laptop, 27in 4K Gaming Monitor, ",7
"Apple Airpods Headphones, 34in Ultrawide Monitor, ",6
"Flatscreen TV, Flatscreen TV, ",6
"Bose SoundSport Headphones, 20in Monitor, ",6
"USB-C Charging Cable, Vareebadd Phone, ",6
"Apple Airpods Headphones, Vareebadd Phone, ",6
"27in FHD Monitor, Macbook Pro Laptop, ",6
"27in 4K Gaming Monitor, 34in Ultrawide Monitor, ",6
"Wired Headphones, Vareebadd Phone, ",6
"Apple Airpods Headphones, 20in Monitor, ",6
"27in 4K Gaming Monitor, Macbook Pro Laptop, ",6
"20in Monitor, AA Batteries (4-pack), ",6
"34in Ultrawide Monitor, Bose SoundSport Headphones, ",6
"Google Phone, iPhone, ",5
"27in 4K Gaming Monitor, Google Phone, ",5
"27in FHD Monitor, 34in Ultrawide Monitor, ",5
"iPhone, 27in 4K Gaming Monitor, ",5
"iPhone, 34in Ultrawide Monitor, ",5
"Flatscreen TV, Apple Airpods Headphones, ",5
"iPhone, Flatscreen TV, ",5
"Flatscreen TV, 34in Ultrawide Monitor, ",5
"34in Ultrawide Monitor, 27in FHD Monitor, ",5
"27in 4K Gaming Monitor, 27in 4K Gaming Monitor, ",5
"Vareebadd Phone, Google Phone, ",4
"Lightning Charging Cable, LG Washing Machine, ",4
"LG Washing Machine, AAA Batteries (4-pack), ",4
"27in FHD Monitor, ThinkPad Laptop, ",4
"Macbook Pro Laptop, 34in Ultrawide Monitor, ",4
"Bose SoundSport Headphones, ThinkPad Laptop, ",4
"20in Monitor, Macbook Pro Laptop, ",4
"LG Dryer, AA Batteries (4-pack), ",4
"Flatscreen TV, 27in FHD Monitor, ",4
"ThinkPad Laptop, Wired Headphones, ",4
"iPhone, ThinkPad Laptop, ",4
"Flatscreen TV, Macbook Pro Laptop, ",4
"Flatscreen TV, Wired Headphones, ",4
"Flatscreen TV, iPhone, ",4
"Google Phone, 27in FHD Monitor, ",4
"Google Phone, Apple Airpods Headphones, ",4
"ThinkPad Laptop, Flatscreen TV, ",4
"27in 4K Gaming Monitor, ThinkPad Laptop, ",4
"27in 4K Gaming Monitor, 27in FHD Monitor, ",4
"AAA Batteries (4-pack), Vareebadd Phone, ",4
"Bose SoundSport Headphones, Macbook Pro Laptop, ",4
"Macbook Pro Laptop, Google Phone, ",4
"iPhone, Bose SoundSport Headphones, ",4
"Vareebadd Phone, 34in Ultrawide Monitor, ",4
"27in FHD Monitor, 27in 4K Gaming Monitor, ",4
"Vareebadd Phone, Apple Airpods Headphones, ",4
"Macbook Pro Laptop, iPhone, ",3
"Vareebadd Phone, Bose SoundSport Headphones, Wired Headphones, ",3
"Macbook Pro Laptop, ThinkPad Laptop, ",3
"ThinkPad Laptop, Google Phone, ",3
"Macbook Pro Laptop, Macbook Pro Laptop, ",3
"Macbook Pro Laptop, 27in FHD Monitor, ",3
"ThinkPad Laptop, iPhone, ",3
"20in Monitor, 20in Monitor, ",3
"Google Phone, USB-C Charging Cable, AAA Batteries (4-pack), ",3
"iPhone, Macbook Pro Laptop, ",3
"Flatscreen TV, Bose SoundSport Headphones, ",3
"Flatscreen TV, Google Phone, ",3
"iPhone, Lightning Charging Cable, Lightning Charging Cable, ",3
"AA Batteries (4-pack), Vareebadd Phone, ",3
"34in Ultrawide Monitor, ThinkPad Laptop, ",3
"34in Ultrawide Monitor, Macbook Pro Laptop, ",3
"iPhone, Lightning Charging Cable, Apple Airpods Headphones, Wired Headphones, ",3
"Google Phone, Google Phone, ",3
"34in Ultrawide Monitor, Flatscreen TV, ",3
"Google Phone, ThinkPad Laptop, ",3
"27in FHD Monitor, 20in Monitor, ",3
"27in 4K Gaming Monitor, iPhone, ",3
"Apple Airpods Headphones, LG Dryer, ",3
"Google Phone, USB-C Charging Cable, Bose SoundSport Headphones, Wired Headphones, ",3
"iPhone, Vareebadd Phone, ",3
"20in Monitor, AAA Batteries (4-pack), ",3
"Wired Headphones, LG Washing Machine, ",3
"27in 4K Gaming Monitor, Flatscreen TV, ",3
"iPhone, Apple Airpods Headphones, AAA Batteries (4-pack), ",3
"27in 4K Gaming Monitor, 20in Monitor, ",2
"20in Monitor, ThinkPad Laptop, ",2
"27in FHD Monitor, LG Dryer, ",2
"34in Ultrawide Monitor, Google Phone, ",2
"27in FHD Monitor, Flatscreen TV, ",2
"iPhone, Lightning Charging Cable, USB-C Charging Cable, ",2
"Vareebadd Phone, Flatscreen TV, ",2
"20in Monitor, Google Phone, ",2
"AA Batteries (4-pack), LG Dryer, ",2
"Vareebadd Phone, AAA Batteries (4-pack), ",2
"Vareebadd Phone, ThinkPad Laptop, ",2
"Bose SoundSport Headphones, Vareebadd Phone, ",2
"Vareebadd Phone, USB-C Charging Cable, Bose SoundSport Headphones, Wired Headphones, ",2
"Lightning Charging Cable, Vareebadd Phone, ",2
"Flatscreen TV, ThinkPad Laptop, ",2
"Macbook Pro Laptop, 20in Monitor, ",2
"Google Phone, Macbook Pro Laptop, ",2
"20in Monitor, 27in FHD Monitor, ",2
"Flatscreen TV, 27in 4K Gaming Monitor, ",2
"Google Phone, USB-C Charging Cable, AA Batteries (4-pack), ",2
"ThinkPad Laptop, 27in FHD Monitor, ",2
"iPhone, 20in Monitor, ",2
"iPhone, Lightning Charging Cable, AA Batteries (4-pack), ",2
"LG Washing Machine, Lightning Charging Cable, ",2
"LG Washing Machine, Bose SoundSport Headphones, ",2
"Google Phone, 34in Ultrawide Monitor, ",2
"Lightning Charging Cable, LG Dryer, ",2
"ThinkPad Laptop, Macbook Pro Laptop, ",2
"ThinkPad Laptop, ThinkPad Laptop, ",2
"Google Phone, 20in Monitor, ",2
"Macbook Pro Laptop, LG Washing Machine, ",2
"Vareebadd Phone, Wired Headphones, 27in 4K Gaming Monitor, ",1
"iPhone, Google Phone, ",1
"Vareebadd Phone, Wired Headphones, Apple Airpods Headphones, ",1
"iPhone, Wired Headphones, Lightning Charging Cable, ",1
"iPhone, 27in FHD Monitor, ",1
"iPhone, Apple Airpods Headphones, Bose SoundSport Headphones, ",1
"Vareebadd Phone, Wired Headphones, iPhone, ",1
"iPhone, Lightning Charging Cable, 34in Ultrawide Monitor, ",1
"iPhone, LG Washing Machine, ",1
"iPhone, Lightning Charging Cable, 27in 4K Gaming Monitor, ",1
"Vareebadd Phone, iPhone, ",1
"iPhone, Lightning Charging Cable, iPhone, ",1
"iPhone, Lightning Charging Cable, Wired Headphones, USB-C Charging Cable, ",1
"iPhone, Lightning Charging Cable, Wired Headphones, AA Batteries (4-pack), ",1
"iPhone, Lightning Charging Cable, Vareebadd Phone, ",1
"iPhone, Lightning Charging Cable, AAA Batteries (4-pack), ",1
"iPhone, Lightning Charging Cable, Apple Airpods Headphones, Wired Headphones, Google Phone, ",1
"iPhone, Lightning Charging Cable, Flatscreen TV, ",1
"iPhone, Lightning Charging Cable, Google Phone, ",1
"Google Phone, USB-C Charging Cable, Vareebadd Phone, ",1
"Vareebadd Phone, USB-C Charging Cable, iPhone, ",1
"Google Phone, USB-C Charging Cable, Wired Headphones, Wired Headphones, ",1
"Google Phone, USB-C Charging Cable, Wired Headphones, Apple Airpods Headphones, ",1
"Google Phone, USB-C Charging Cable, Wired Headphones, AA Batteries (4-pack), ",1
"Google Phone, USB-C Charging Cable, Wired Headphones, 27in FHD Monitor, ",1
"Google Phone, USB-C Charging Cable, USB-C Charging Cable, ",1
"Google Phone, USB-C Charging Cable, Lightning Charging Cable, ",1
"Google Phone, USB-C Charging Cable, Bose SoundSport Headphones, 34in Ultrawide Monitor, ",1
"Google Phone, USB-C Charging Cable, Apple Airpods Headphones, ",1
"Google Phone, USB-C Charging Cable, 27in FHD Monitor, ",1
"Google Phone, Flatscreen TV, ",1
"Google Phone, Bose SoundSport Headphones, Lightning Charging Cable, ",1
"Google Phone, Bose SoundSport Headphones, Apple Airpods Headphones, ",1
"Google Phone, Bose SoundSport Headphones, 27in FHD Monitor, ",1
"Google Phone, 27in 4K Gaming Monitor, ",1
"Flatscreen TV, 20in Monitor, ",1
"AAA Batteries (4-pack), LG Dryer, ",1
"34in Ultrawide Monitor, LG Washing Machine, ",1
"34in Ultrawide Monitor, 20in Monitor, ",1
"27in FHD Monitor, iPhone, ",1
"27in FHD Monitor, Vareebadd Phone, ",1
"27in FHD Monitor, LG Washing Machine, ",1
"27in FHD Monitor, Google Phone, ",1
"27in 4K Gaming Monitor, Vareebadd Phone, ",1
"27in 4K Gaming Monitor, LG Dryer, ",1
"20in Monitor, iPhone, ",1
"20in Monitor, LG Washing Machine, ",1
"20in Monitor, Flatscreen TV, ",1
"20in Monitor, 34in Ultrawide Monitor, ",1
"Google Phone, USB-C Charging Cable, Wired Headphones, USB-C Charging Cable, ",1
"Google Phone, USB-C Charging Cable, Wired Headphones, iPhone, ",1
"Vareebadd Phone, USB-C Charging Cable, Apple Airpods Headphones, ",1
"Google Phone, Wired Headphones, AA Batteries (4-pack), ",1
"Vareebadd Phone, Lightning Charging Cable, ",1
"Vareebadd Phone, Bose SoundSport Headphones, Flatscreen TV, ",1
"Vareebadd Phone, 27in FHD Monitor, ",1
"Vareebadd Phone, 27in 4K Gaming Monitor, ",1
"USB-C Charging Cable, LG Dryer, ",1
"ThinkPad Laptop, Vareebadd Phone, ",1
"ThinkPad Laptop, LG Dryer, ",1
"ThinkPad Laptop, 34in Ultrawide Monitor, ",1
"ThinkPad Laptop, 27in 4K Gaming Monitor, ",1
"Macbook Pro Laptop, Flatscreen TV, ",1
"LG Washing Machine, iPhone, ",1
"LG Washing Machine, Wired Headphones, ",1
"LG Washing Machine, Google Phone, ",1
"LG Washing Machine, Apple Airpods Headphones, ",1
"LG Washing Machine, AA Batteries (4-pack), ",1
"LG Washing Machine, 27in 4K Gaming Monitor, ",1
"LG Washing Machine, 20in Monitor, ",1
"LG Dryer, Wired Headphones, ",1
"LG Dryer, Vareebadd Phone, ",1
"LG Dryer, Lightning Charging Cable, ",1
"LG Dryer, Google Phone, ",1
"LG Dryer, Flatscreen TV, ",1
"LG Dryer, AAA Batteries (4-pack), ",1
"LG Dryer, 27in FHD Monitor, ",1
"LG Dryer, 27in 4K Gaming Monitor, ",1
"Google Phone, Wired Headphones, USB-C Charging Cable, ",1
"Google Phone, Wired Headphones, Macbook Pro Laptop, ",1
"iPhone, iPhone, ",1
